judul,waktu,isi
"Pengurus KONI Lampung Timur Jangan Berorientasi Keuntungan, Tapi Pengabdian!","Senin 19-09-2022,12:31 WIB","
                                                                                        
                                         
                                             
                                                                             - Komite Olahraga Nasional Indonesia (KONI) Kabupaten Lampung Timur diharapkan dapat mengoptimalkan pembinaan melalui sistem berjenjang.
 Demikian disampaikan Bupati Lampung Timur M. Dawam Rahardjo saat pelantikan pengurus   Timur periode 2022-2026 di Gedung Pusiban Sukadana, Senin 19 September 2022.
 Dalam kesempatan tersebut, Bupati Lampung Timur M. Dawam Rahardjo juga berpesan agar   dapat menghimpun elemen pendukung guna pengembangan dan peningkatan prestasi olahraga di  
 Dengan dilantiknya pengurus KONI Kabupaten Lampung Timur ini, semoga menjadi semangat baru bagi para pengurus dalam melanjutkan berbagai program kerja sesuai visi dan misi.
 
 ""Khususnya bagi kemajuan prestasi  dunia olahraga, di   ini,"" jelas Bupati Lampung Timur M. Dawam Rahardjo dalam acara yang juga dihadiri Ketua Harian KONI Lampung Hanibal, jajaran Forkopimda, dan para kepala Organisasi Perangkat Daerah.
 Selain itu, KONI Lampung Timur juga diharapkan berpartisipasi dan terlibat secara aktif dalam upaya peningkatan Sumber Daya Manusia (SDM) dan kemajuan pembangunan bagi masyarakat.  Khususnya bidang olahraga di Lampung Timur.
 ""Mari benahi KONI agar olahraga Lampung Timur lebih maju,"" pesan Bupati Lampung Timur M. Dawam Rahardjo.
 Dalam kesempatan yang sama, Bupati Lampung Timur M. Dawam Rahardjo menargetkan akan meraih prestasi terbaik pada Pekan Olahraga Provinsi.
 
 ""Paling tidak, prestasi Lampung Timur naik dari peringkat 8 menjadi 3,"" pungkas Bupati Lampung Timur M. Dawam Rahardjo.
 Dalam yang sama, Ketua Harian KONI Lampung Hanibal berharap, KONI Lampung Timur segera melaksanakan program kerja jangka pendek dan panjang.
 Salah satunya mempersiapkan atlit untuk Pekan Olahraga Provinsi  (Porprov) Lampung pada Desember 2022 mendatang.
 ""Bila kendalanya keterbatasan anggaran, solusinya berangkatkan atlit dari cabang olahraga yang dapat memberikan kontribusi medali,"" pesan Hanibal.
 Cek Berita dan Artikel yang lain di  
                                "
"Hanya Berselang Dua Pekan, Polres Lampung Timur Kembali Tes Urine Personil, Bagaimana Hasilnya?  ","Senin 19-09-2022,17:54 WIB","
                                                                                        
                                         
                                             
                                                                             - Upaya   mencegah penyalahgunaan narkoba di lingkungan internal, berlanjut.
 Upaya tersebut antara lain melalui kegiatan tes urine yang digelar secara mendadak terhadap sejumlah personil Polres Lampung Timur pada Senin 19 September 2022.
 Polres Lampung Timur yang menjalani tes urine merupakan perwakilan satuan fungsi yang dipilih secara acak.
 Tes urine itu dipimpin Wakapolres Lampung Timur Kompol Sugandhi Satria Nugraha, didampingi pejabat utama.
 
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Wakapolres Lampung Timur Kompol Sugandhi Satria Nugraha mengatakan, tes urine itu merupakan salah satu upaya Penegakan Ketertiban (Gaktip) disiplin personil.
 ""Hal itu juga sebagai upaya pencegahan dini penyalahgunaan narkoba bagi anggota,"" jelas Kapolres Lampung Timur.
 Kegiatan pengecekan urine kali ini tidak dapat dihindari lantaran dilakukan usai apel pagi. 
 ""Dari seluruh hasil pengecekan, tidak ada anggota Polres Lampung Timur yang dinyatakan positif menggunakan narkoba,"" lanjut Kapolres Lampung Timur sembari mengatakan, kegiatan ini dirasa sangat penting dan bakal terus dilakukan secara rutin agar menghindari anggota polri yang menyalahgunakan narkotika.
 
 Sebelumnya, tes urine terhadap personil Polres Lampung Timur juga dilaksanakan secara dadakan usai apel pagi, Senin 5 September 2022.  
   Cek Berita dan Artikel yang lain di  
                                "
"Unjuk Rasa Membuahkan Hasil, Gaji Perangkat Desa di Lampung Timur Mulai Dibayarkan ","Selasa 20-09-2022,14:33 WIB","
                                                                                        
                                         
                                             
                                                                             - Para   di Kabupaten Lampung Timur boleh sedikit bernafas lega.
 Pasalnya, Pemerintah Kabupaten (Pemkab) Lampung Timur berencana membayarkan penghasilan tetap (siltap) perangkat desa mulai pada Selasa 20 September 2022.
 Rencana pembayaran siltap merupakan hasil rapat koordinasi antara Badan Anggaran (Banang) DPRD dengan Tim Anggaran Pemerintah Daerah (TAPD) Kabupaten Lampung Timur.
 Rapat koordinasi yang dipimpin Ketua DPRD Lampung Timur Ali Johan Arif itu dihadiri juga Sekretaris Kabupaten M. Jusuf, para asisten, Kepala Badan Pengelola Keuangan dan Aset Daerah Sukismanto Aji, dan Kepala Bappeda Agusrina Saka.
 
 Ali Johan Arif menjelaskan, sesuai hasil rapat koordinasi, saat ini dana yang tersedia di Kas Daerah Rp 24 miliar.  Dari jumlah tersebut, Rp 23 miliar dialokasikan untuk pembayaran gaji perangkat desa tersebut, selama 3 bulan.
 Yaitu untuk periode April, Mei, dan Juni 2022 atau triwulan 2.  
 Siltap selama 3 bulan itu akan dibayarkan kepada 3.776 perangkat yang tersebar di 264 desa.  Itu terdiri dari Kepala Desa, Sekretaris Desa, Kepala Urusan, Kepala Seksi, dan Kepala Dusun. 
 Sementara, pembayaran siltap untuk Rukun Tetangga (RT), Lembaga Pemberdayaan Masyarakat (LPM), Badan Permusyawaratan Desa (BPD), dan Perlindungan Masyarakat (Linmas), masih menunggu hasil evaluasi gubernur Lampung terhadap APBD Perubahan tahun 2022.
 
 Begitu juga untuk pembayaran siltap triwulan 3 (Juli, Agustus, dan September) menunggu hasil evaluasi gubernur Lampung terhadap APBDP 2022.
 ""Saat ini APBDP masih proses evaluasi di Provinsi Lampung. Mudah-mudahan segera selesai sehingga seluruh perangkat desa menerima siltap,"" jelas Ali Johan. 
 Keterangan senada diungkapkan Sekretaris Kabupaten Lampung Timur M. Jusuf.
 ""Siltap akan kami bayarkan mulai proses pembayarannya mulai hari ini,"" ujar M. Jusuf usai rapat koordinasi di Gedung DPRD Lampung Timur, Selasa 20 Agustus 2022.
 Cek Berita dan Artikel yang lain di  
                                "
"Curiga Gerak-Gerik Warga, Polres Lampung Timur Amankan Tersangka Pembawa Sabu-Sabu ","Selasa 20-09-2022,16:21 WIB","
                                                                                        
                                         
                                             
                                                                             -   kembali mengungkap kasus penyalahgunaan narkoba jenis sabu-sabu.
 Kali ini, dari pengungkapan kasus itu, Polres Lampung Timur mengamankan DP (31), warga Kecamatan Metro Pusat, Kota Metro.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatnarkoba Iptu Suheri menjelaskan, pengungakapan kasus itu berawal dari kecurigaan masyarakat terhadap gerak-gerik tersangka di wilayah Kecamatan Pekalongan.
 Berdasarkan informasi masyarakat dan hasil penyelidikan, personil Satnarkoba Polres Lampung Timur mengamankan tersangka di wilayah Desa Adi Jaya, Kecamatan Pekalongan, Senin 19 September 2022.
 
 Berikut tersangka, turut diamankan barang bukti berupa sebuah plastik klip bening yang didalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.
 ""Tersangka dan barang bukti kami amankan di Polres Lampung Timur guna pengembangan penyidikan lebih lanjut,"" jelas Kapolres Lampung Timur.
 Diberitakan sebelumnya, Polres Lampung Timur kembali mengamankan tersangka kasus narkoba jenis sabu-sabu.
 Tersangka adalah DC (27), warga Kecamatan Way Jepara, Lampung Timur.
 
 Iptu Suheri menjelaskan, penangkapan terhadap tersangka berawal dari informasi masyarakat tentang penyalahgunaan narkoba di wilayah Kecamatan Braja Selebah.
 Berdasarkan informasi masyarakat dan hasil penyelidikan personil Satnarkoba Polres Lampung Timur mengamankan tersangka di wilayah Desa Braja Luhur, Kecamatan Braja Selebah, Sabtu 17 September 2022.
 Berikut tersangka, turut diamankan barang bukti berupa sebuah plastik klip bening yang didalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.
 ""Tersangka dan barang bukti kami amankan di Polres guna pengembangan penyidikan lebih lanjut,"" jelas Kapolres Lampung Timur.  Cek Berita dan Artikel yang lain di  
                                "
"Membuahkan Hasil, Upaya Polres Lampung Timur Memburu Pencuri Ponsel Sampai ke Jawa Timur ","Rabu 21-09-2022,17:37 WIB","
                                                                                        
                                         
                                             
                                                                              - Upaya Polsek Pekalongan,   memburu  pelaku pencurian  dengan pemberatan (curat) hingga ke wilayah Jawa Timur, membuahkan hasil.
 Hal itu setelah Tim Antibandit (Tekab) 308 Polsek Pekalongan berhasil mengamankan GT (34), warga Kecamatan Metro Timur, Kota Metro, Lampung, di wilayah Kabupaten Ngawi, Jawa Timur, Rabu 21 September 2022.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kapolsek Pekalongan Iptu Yugo Laksono menjelaskan, tersangka diduga sebagai pelaku pencurian telepon seluler (ponsel) merek Poco M3 Pro milik Febri Ayu Lestari (22), warga Kecamatan Pekalongan.
 Aksi pencurian itu dilakukan tersangka pada 27 Februari 2022 lalu.  Modusnya, tersangka memanjat etalase toko milik korban.
 
 Setelah berhasil, masuk tersangka membawa ponsel korban yang diletakkan di dapur yang ada di toko tersebut.
 Pada saat kejadian, korban sedang membuka pintu toko dan meletakkan ponselnya di atas etalase dapur.  Saat kembali ke dapur ternyata ponsel korban telah hilang.
 Kejadian itu kemudian dilaporkan korban ke Polsek Pekalongan.
 Berdasarkan laporan korban dan hasil penyelidikan, petugas Polsek Pekalongan mengidentifikasi tersangka berada di wilayah Ngawi, Jawa Timur.
 
 Kemudian,  Tekab 308 Polsek Pekalongan dibantu anggota Polsek Geneng Polres Ngawi berhasil mengamankan tersangka saat bersembunyi di rumah mertuanya tanpa perlawanan.
 Berikut tersangka, turut diamankan barang bukti berupa ponsel merek Poco M3 Pro milik korban.
 “Tersangka masih dalam perjalanan menuju Polsek Pekalongan untuk diamankan guna pengembangan penyidikan lebih lanjut,” jelas kapolres.  Cek Berita dan Artikel yang lain di  
                                "
"Ketahuan Saat Akan Beraksi Curi Sepeda Motor, Warga Jabung Diamankan","Kamis 22-09-2022,13:27 WIB","
                                                                                        
                                         
                                             
                                                                              Polsek Mataram Baru, Lampung Timur, mengamankan tersangks kasus pencurian kendaraan bermotor ( ).
 Tersangka adalah GW (23), warga Kecamatan Jabung, Lampung Timur.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kapolsek Mataram Baru Iptu  Rudi menjelaskan, tersangka diduga sebagai pelaku sejumlah  . 
 Antara lain, aksi curanmor Honda Supra Fit milik Suparni (38) warga Desa Mataram Baru Kecamatan Mataram Baru. Aksi pencurian itu dilakukan tersangka bersama rekannya pada 1 September 2022 lalu.
 
 Modusnya, mencongkel pintu teras samping rumah korban. Setelah itu, tersangka membawa kabur sepeda  motor yang ada di dapur rumah korban. 
 Tindak curanmor yang dilakukan tersangka akhirnya terungkap Rabu 21 September 2022 lalu.
 Itu berawal ketika berniat kembali melakukan aksi curanmor di rumah salah satu warga Kecamatan Mataram Baru.
 Namun, sebelum berhasil membawa kabur sepeda motor, tersangka ketahuan warga. Tersangka kemudian diamankan warga kemudian diserahkan ke Polsek Mataram Baru. Sementara, rekannya berhasil kabur.
 
 Saat menjalani pemeriksaan tersangka juga mengaku terlibat dalam aksi curanmor Honda Supra Fit milik Suparni.
 Berikut tersangka turut diamankan barang bukti berupa 1 buah kunci leter T, 2 buah anak kunci palsu, 1 buah plat besi, 2 buah obeng dan 1 buah magnet.
 ""Tersangka dan barang bukti kami amankan di Polsek guna pengembangan penyidikan lebih lanjut,""jelas Kapolres.
 Diberitakan sebelumnya, Polsek Melinting Lampung Timur mengamankan tersangka kasus pencurian kendaraan bermotor (curanmor).
 Cek Berita dan Artikel yang lain di  
                                "
Ini Penyebab 1 Desa di Lampung Timur Belum Terima Dana Desa Tahap 2,"Jumat 23-09-2022,14:03 WIB","
                                                                                        
                                         
                                             
                                                                             - Penyaluran   (DD)  di wilayah Kabupaten Lampung Timur mulai memasuki persiapan tahap 3. 
 Di sisi lain, ternyata masih ada 1 desa yang hingga saat ini belum menerima DD tahap 2.
 Kepala Dinas Pemberdayaan Masyarakat Desa (PMD) Lampung Timur Yudi Irawan menjelaskan,   tahun ini Lampung Timur mendapat alokasi DD sebesar Rp 279 miliar.
 Itu akan disalurkan kepada 264 desa yang tersebar di 24 kecamatan.
 
 Dilanjutkan, mekanisme penyaluran DD dilaksanakan 3 tahap. Masing-masing 40 persen tahap 1, 40 persen tahap 2, dan 20 persen tahap 3. 
 Sesuai tahapan tersebut, hingga saat ini DD tahap 2 telah disalurkan kepada 263 desa. Bahkan, sebagian besar sudah menyelesaikan kegiatan yang dianggarkan melalui DD tahap 2. 
 Menurutnya, untuk yang telah menyelesaikan DD tahap 2, saat ini masih dalam proses pemeriksaan surat pertanghungjawaban (SPj).
 ""SPj sebagai dasar pengajuan usul pencairan DD tahap 3,"" jelas Yudi Irawan, Jumat 23 September 2022.
 
 Lebih lanjut dijelaskan, hingga saat ini tinggal 1 desa lagi yang belum menerima DD tahap 2. Yaitu, salah satu desa yang berada di wilayah Kecamatan Way Jepara.
 ""Desa tersebut belum menyampaikan SPj DD tahap 1,"" lanjut Yudi Irawan.
 Karenanya, Yudi Irawan menginstruksikan kepada desa tersebut segera menyelesaikan kegiatan DD tahap 1. Kemudian, melaporkan SPj sebagai dasar pengajuan usul DD tahap 2.
 ""Sebelum menyampaikan SPj, tidak dapat mengajukam usul DD tahap berikutnya,""imbuh Yudi Irawan.
 Cek Berita dan Artikel yang lain di  
                                "
"Bawa 306 Butir Pil Heximer, Polres Lampung Timur Amankan 2 Tersangka  ","Jumat 23-09-2022,15:40 WIB","
                                                                                        
                                         
                                             
                                                                             -   kembali mengungkap kasus penyalahgunaan narkoba jenis  .
 Kali ini, Satnarkoba Polres Lampung Timur mengamankan 2 warga Kecamatan Labuhan Maringgai karena disangka terlibat kasus peredaran pil heximer.
 Masing-masing, DH (22) dan DA (22) warga Desa Muara Gading Mas, Kecamatan Labuhan Maringgai.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatnarkoba Iptu Suheri menjelaskan, pengungkapan kasus itu berawal dari informasi masyarakat tentang masih beredaranya pil heximer di wilayah Kecamatan Labuhan Maringgai.
 
 Berdasarkan informasi dan hasil penyelidikan, petugas berhasil mengamankan kedua tersangka, Kamis 22 September 2022. 
 Berikut kedua tersangka, turut diamankan barang bukti berupa,   yang dikemas dalam 26 platisk klip bening.  
 “Untuk proses hukum lebih lanjut, tersangka dan barang bukti kami amankan di Polres Lampung Timur,” terang Kapolres, Jumat 23 September 2022.
 Diberitakan sebelumnya, Polres Lampung Timur terus berupaya memberantas peredaran narkoba. Itu termasuk peredaran sediaan obat-obatan sediaan farmasi tanpa ijin edar jenis heximer.
 
 Sebagaimana dilaksanakan, Satnarkoba Polres Lampung Timur dengan mengamankan AI (23), warga Kecamatan Mataram Baru, Kamis 15 September 2022 lalu.
 Berikut tersangka turut diamankan barang bukti berupa 105 butir pil heximer yang dikemas dalam 11  klip bening.
 Sepekan sebelumnya,  Satnarkoba Polres Lampung Timur mengamankan WM (24), warga Kecamatan Labuhan Maringgai, Rabu 7 September 2022. 
 Berikut tersangka, turut diamankan barang bukti berupa 51 butir pil heximer yang dikemas dalam 4 plastik klip bening dan uang tunai Rp 200 ribu.
 Cek Berita dan Artikel yang lain di  
                                "
"Bawa Sabu, 2 Warga Braja Selebah Diamankan Polres Lamtim","Sabtu 24-09-2022,12:47 WIB","
                                                                                        
                                         
                                             
                                                                             Jajaran   kembali mengungkap kasus penyalahgunaan narkoba jenis  - .
 Kali ini, dari pengungkapan kasus itu Sat Res Narkoba Polres Lamtim mengamankan 2 tersangka. Masing-masing, NY (21) dan AW (22) warga Kecamatan Braja Selebah, Lamtim.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution, didampingi Kasat Narkoba Iptu Suheri menjelaskan, pengungakapan kasus itu berawal dari kecurigaan masyarakat terhadap gerak-gerik tersangka di wilayah Kecamatan Labuhan Maringgai.
 Berdasarkan informasi masyarakat dan hasil penyelidikan, personil Sat Res Narkoba Polres Lamtim mengamankan tersangka di wilayah Desa Labuhan Maringgai, Jumat 23 September 2022 pukul 21.30 WIB. 
 
 Berikut kedua tersangka turut diamankan barang bukti berupa sebuah plastik klip bening yang di dalamnya berisi kristal putih diduga keras   golongan 1 jenis sabu-sabu.
 Atas perbuatannya, tersangka dijerat Undang-undang RI Nomor 35 tahun 2009 tentang Penyalahgunaan Narkotika.
 “Tersangka dan barang bukti kami amankan di Polres Lamtim guna pengembangan penyidikan lebih lanjut,” jelas Kapolres, Sabtu 24 September 2022. 
 Sebelumnya pun Polres Lamtim mengamankan DP (31) warga Kecamatan Metro Pusat, Kota Metro.
 
 Tersangka diamankan di wilayah Desa Adi Jaya Kecamatan Pekalongan, Senin 19 September 2022.  
 Berikut tersangka turut diamankan barang bukti berupa sebuah plastik klip bening yang di dalamnya berisi kristal putih diduga keras narkotika golongan 1 jenis sabu-sabu.  Cek Berita dan Artikel yang lain di  
                                "
"Menelisik Indahnya Pantai Kerang Emas, Destinasi Wisata Unggulan Lamtim","Sabtu 24-09-2022,17:21 WIB","
                                                                                        
                                         
                                             
                                                                              - Masyarakat Lampung yang membutuhkan tempat untuk melepas penat tidak perlu jauh-jauh mencari   yang menarik.
 Cukup datang ke Lampung Timur, banyak destinasi wisata yang menarik untuk dikunjungi.
 Salah satunya, obyek wisata   yang berlokasi di Desa Muara Gading Mas, Kecamatan Labuhan Maringgai.
 Untuk menuju lokasi wisata tersebut sangatlah mudah. Dari Bandarlampung, dapat ditempuh dengan rute melalui Kota Metro-Sukadana-Labuhanmaringgai dengan jarak 150 km.
 
 Rute lain, dari Bakauheni-Pasirsakti-Labuhanmaringgai dengan jarak 60 km.
 Alternatif lain, dari Bandarlampung melalui jalan tol kemudian keluar melalui pintu tol Panjang. Selanjutnya, menuju Kecamatan Bandar Sribowono melalui Jl. Ir. Sutami. Setelah itu menuju Kecamatan Labuhan Maringgai.
 Sesampainya di wilayah Kecamatan Labuhan Maringgai, ambil rute ke pertigaan jalan menuju Kecamatan Pasir Sakti.
 Setelah menempuh perjalanan sekitar 3 km, belok ke kiri di perigaan jalan arah Pantai Kerang Emas. Di pertigaan jalan tersebut terdapat petunjuk arah menuju Pantai Kerang Emas.
 
 Dari pertigaan jalan menuju Pantai Kerang Emas pengunjung dapat menikmati pemandangan hamparan areal pertambakan udang rakyat.
 Setelah menempuh perjalanan sejauh 2 km, sampailah di pintu masuk Pantai Kerang Emas.
 Untuk masuk ke destinasi wisata tersebut, pengunjung cukup membayar tiket Rp 10 ribu per orang.
 Pantai yang berlokasi di Desa Muaragadingmas, Kecamatan Labuhanmaringgai, tersebut memiliki panjang 1,8 Km.
 Cek Berita dan Artikel yang lain di  
                                "
"Cabut Papan Reklame Berikut Tiangnya, Lalu Bawa Kabur Pakai Mobil Pick Up ","Minggu 25-09-2022,12:11 WIB","
                                                                                        
                                         
                                             
                                                                             – Polsek Pekalongan, Lampung Timur, mengamankan 2 tersangka pencurian dengan pemberatan ( ). Masing-masing, AS (19) dan SA (19), warga Natar, Kabupaten Lampung Selatan.
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kapolsek Pekalongan Iptu Yugo Laksono menjelaskan, kedua tersangka diduga terlibat dalam aksi pencurian 4   pada 8 September 2022 lalu.
 Mudusnya, kedua tersangka mencabut papan reklame berikut tiangnya yang berada di Jalan AH Nasution, Desa Adirejo, Kecamatan Pekalongan. Kemudian, barang curian itu dibawa kabur menggunakan 1 unit mobil pick up.  
 Berdasarkan laporan pemilik papan reklame dan hasil penyelidikan, petugas Polsek Pekalongan berhasil mengidentifikasi dan mengamankan ke dua tersangka, Sabtu 24 September 2022. 
 
 Berikut kedua tersangka, turut diamankan barang bukti berupa  1 unit mobil pikap merk Isuzu Panther dan besi sisa potongan tiang reklame.
 “Tersangka dan barang bukti kami amankan di Polsek Pekalongan guna pengembangan penyidikan lebih lanjut,” jelas kapolres.  Cek Berita dan Artikel yang lain di  
                                "
"Petani Singkong Lampung Timur Tidak Mendapat Alokasi Pupuk Subsidi, Dinas Pertanian Beri Saran Begini","Minggu 25-09-2022,12:17 WIB","
                                                                                        
                                         
                                             
                                                                             - Dari tahun ke tahun, ketersediaan pupuk bersubsidi bagi para petani selalu mengalami kendala. Sebab, alokasi pupuk bersubsidi selalu lebih rendah dari kebutuhan. 
 Akibatnya, petani selalu kesulitan mendapatkan pupuk bersubsidi saat memasuki musim tanam.  Terlebih bagi para  . Sebab saat ini tidak lagi mendapatkan alokasi pupuk bersubsidi. 
 Itu menyusul terbitnya Peraturan Menteri Pertanian (Pementan) nomor 10 tahun 2022 tentang tata cara penetapan alokasi dan harga eceran tertinggi pupuk bersubsidi sektor pertanian.
 Sebab sesuai pasal 3 Permentan tersebut, pupuk bersubsidi hanya khusus bagi tanaman pangan dan hortikultura.  Kemudian, tanaman perkebunan dengan luas lahan 2 hekare setiap musim tanam.
 
 Sesuai ayat 2 pasal 3 Permantan tersebut, yang masuk tanaman pangan adalah padi, jagung dan kedelai. Kemudian, pada ayat 3 yang masuk tanaman hortikultura adalah cabai, bawang merah dan bawang putih.
 Selanjutnya, pada ayat 4 disebutkan yang masuk tanaman perkebunan adalah tebu rakyat, kakao dan kopi. Sedangkan, untuk tanaman singkong tidak masuk dalam komoditas yang berhak mendapatkan pupuk bersubsidi.
 Kepala Dinas Ketahanan Pangan Tanaman Pangan Hortikultura dan Perkebunan Indra Duki melalui Kabid melalui Kabid Prasarana dan Sarana Pertanian Dian Ratnasari menjelaskan,  tahun 2022 ini alokasi pupuk bersubsidi jenis urea hanya 71.668 ton.
 Kemudian, Sp36 (5.943 ton), NPK (41.300 ton), ZA (2.460 ton) dan organik (1.993 ton).
 
 Itu berdasarkan Surat Keputusan Kepala Dinas Ketahanan Pangan Tanaman Pangan dan Hortikultura  Provinsi Lampung  nomor 821.1/168/KDS/V.21.2/2022  tentang relokasi ke dua pupuk bersubsidi sektor pertanian Provinsi Lampung.
 Menurutnya, merujuk surat tertanggal 12 September 2022 yang ditandatangani Kepala Dinas Ketahanan Pangan Tanaman Pangan dan Hortikultura  Provinsi Lampung Kusnardi tersebut, maka alokasi pupuk bersubsidi untuk Kabupaten   lebih rendah  dari kebutuhan petani.
 Pasalnya, berdasarkan data tahun 2021 luas sasaran tanam pangan jenis padi mencapai 110.260 hektare dan jagung mencapai 187.450 hektare. 
 Sementara tanaman perkebunan jenis singkong mencapai 45.247 hektare. 
 Cek Berita dan Artikel yang lain di  
                                "
"Buru Perampok Bersenjata Api Sampai Banten dan Jawa Tengah, Polres Lampung Timur Amankan 4 Tersangka","Senin 26-09-2022,09:03 WIB","
                                                                                        
                                         
                                             
                                                                             - Upaya   memburu para pelaku perampokan hingga ke wilayah Banten dan Jawa Tengah, membuahkan hasil.
 Hal itu setelah Tim Tekab 308 Polres Lampung Timur mengamankan 4 tersangka kasus pencurian dengan kekerasan.
 Masing-masing, AY (33) warga Kecamatan Sacang Kabupaten Magelang Jawa Tengah, RD (38) dan PM (27) warga Kecamatan Candipuro, Lampung Selatan. Kemudian, ES (27) warga Kecamatan Way Panji, Lampung Selatan.  
 Kapolres Lampung Timur AKBP Zaky Alkazar Nasution didampingi Kasatreskrim Iptu Johanes menjelaskan, 4 tersangka diduga sebagai pelaku perampokan di rumah Sulimin (52), warga Desa Purworejo, Kecamatan Pasir Sakti. 
 
 Aksi perampokan itu dilakukan para tersangka pada Jumat 16 September 2022, pukul 01.00 WIB. 
 Modusnya, para tersangka mengetuk pintu rumah korban. Saat itu, korban sedang tidur bersama istrinya. Di dalam rumah tersebut juga ada adik korban. 
 Mendengar ada yang mengetuk pintu. Korban bangun kemudian membukakan pintu. Ketika pintu terbuka, korban langsung ditodong oleh 3 orang tak dikenal bersenjata api dan pedang yang mengenakan cadar (penutup wajah).
 Adik korban yang ikut terbangun juga langsung ditodong para tersangka. Selanjutnya, para tersangka mengikat kedua tangan korban dan adiknya menggunakan lakban.  
 
 Setelah berhasil melumpuhkan korban, para tersangka  mengacak-acak laci dan lemari pakaian korban.
 Dari rumah korban, para tersangka membawa kabur 6 unit telepon genggam, uang tunai Rp 20 juta, 2 unit sepeda motor, dan surat-surat berharga. 
 Berdasarkan laporan korban dan hasil penyelidikan, jajaran Polres Lampung Timur berhasil mengidentifikasi para pelaku perampokan tersebut.
 Selanjutnya, Tim Tekab 308 yang dipimpin Kasat Reskrim Iptu Johanes bersama personil Polsek Pasir Sakti meluncur ke wilayah Kabupaten Pandeglang, Banten.
 Cek Berita dan Artikel yang lain di  
                                "
"Uji Publik 4.565 Tenaga Non-ASN Lampung Timur, Masyarakat Dipersilakan Beri Tanggapan","Selasa 04-10-2022,15:23 WIB","
                                                                                        
                                         
                                             
                                                                             - Pemerintah Kabupaten (Pemkab) Lampung Timur mempersilahkan masyarakat memberikan tanggapan terhadap data tenaga non-Aparatur Sipil Negara (ASN).
 Sekretaris Kabupaten Lampung Timur M. Jusuf menjelaskan,   telah melakukan pendataan terhadap tenaga non-ASN. 
 Hal itu sebagaimana amanat surat Kementrian Aparatur Sipil Negara dan Reformasi Birokrasi nomor B/1511/M.SM.01.00/2022 tentang pendataan tenaga non-ASN di lingkungan instansi pemerintah.
 Setelah dilakukan verifikasi, tercatat ada 4.565 tenaga non-ASN yang mengabdi di lingkungan Pemkab Lampung Timur. Dari jumlah tersebut, 290 di antaranya merupakan tenaga honor Kategori 2 (K2).
 
 Nama-nama tenaga non-ASN yang telah terdata tersebut dapat diakses melalui laman  
 ""Pada masa uji publik ini,  masyarakat  dapat mengajukan sanggahan bila  ada sejumlah nama tenaga non-ASN yang dianggap tidak sesuai atau diragukan status kepegawaiannya,"" jelas M. Jusuf didampingi Kepala Badan Kepegawaian Pendidikan dan Pelatihan Daerah Lampung Timur M. Ridwan, Selasa 4 Oktober 2022.
 Pengajuan sanggahan dapat disampaikan secara tertulis kepada Kasubbag Kepegawaian pada Organisasi Perangkat Daerah (OPD) di tempat tenaga non-ASN yang disanggah bekerja.
 Surat sanggahan paling lambat disampaikan pada 17 Oktober 2022.
 
 ""Surat sanggahan akan diverifikasi kebenarannya berdasarkan kelengkapan berkas yang telah diserahkan tenaga non-ASN ke BKPPD,"" lanjutnya.
 Setelah tahap uji publik, maka data tenaga non-ASN yang telah diverifikasi dan lolos uji publik segera disampaikan ke Badan Kepegawaian Negara (BKN).
 Diberitakan sebelumnya, pemetaan tenaga non-ASN di Lampung Timur memasuki tahap input data.
 M. Ridwan menjelaskan, tahapan input data itu merupakan tindak lanjut surat Kementrian Aparatur Sipil Negara dan Reformasi Birokrasi nomor B/1511/M.SM.01.00/2022.
 Cek Berita dan Artikel yang lain di  
                                "
